priority,gene_id,ec_number,mnxr_id,bigg_reaction,kegg_reaction,missing_metabolites_count,missing_metabolites,equation
P3,YALI1A09694g,1.4.4.2,MNXR144962,,,2,MNXM740463|MNXM741248,1 MNXM13@MNXD1 + 1 MNXM740463@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM741248@MNXD1
P3,YALI1A09694g,1.4.4.2,MNXR144963,,,2,MNXM740461|MNXM741253,1 MNXM13@MNXD1 + 1 MNXM740461@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM741253@MNXD1
P3,YALI1A09694g,1.4.4.2,MNXR188141,R_GLYCLm,R01221,4,MNXM1102150|MNXM1103936|MNXM729302|MNXM8,1 MNXM10@MNXD1 + 1 MNXM1102150@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM729302@MNXD1 = 1 MNXM1103936@MNXD1 + 1 MNXM29@MNXD1 + 1 MNXM8@MNXD1
P3,YALI1A09694g,1.4.4.2,MNXR115908,,,2,MNXM2628|MNXM7712,1 MNXM13@MNXD1 + 1 MNXM2628@MNXD1 = 1 MNXM29@MNXD1 + 1 MNXM7712@MNXD1
P3,YALI1A09694g,1.4.4.2,MNXR166338,,,2,MNXM1090147|MNXM1090148,1 MNXM1090147@MNXD1 + 1 MNXM29@MNXD1 = 1 MNXM1090148@MNXD1 + 1 MNXM13@MNXD1
P3,YALI1A09939g,2.5.1.21,MNXR146470,,,1,MNXM738583,1 MNXM11@MNXD1 + 1 MNXM1363956@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM738583@MNXD1 + 1 MNXM738702@MNXD1
P3,YALI1A09939g,2.5.1.21,MNXR166760,,,1,MNXM8,1 MNXM10@MNXD1 + 2 MNXM1363833@MNXD1 + 1 MNXM1@MNXD1 = 2 MNXM11@MNXD1 + 1 MNXM1363956@MNXD1 + 1 MNXM8@MNXD1
P3,YALI1A09939g,2.5.1.21,MNXR146158,,,1,MNXM738583,1 MNXM11@MNXD1 + 1 MNXM738583@MNXD1 = 2 MNXM1363833@MNXD1
P3,YALI1A09939g,2.5.1.21,MNXR117933,,,0,,2 MNXM11@MNXD1 + 1 MNXM1363956@MNXD1 + 1 MNXM137@MNXD1 = 2 MNXM1363833@MNXD1 + 1 MNXM162231@MNXD1
P3,YALI1A09939g,2.5.1.21,MNXR146155,R_PSPPS,,1,MNXM738585,1 MNXM11@MNXD1 + 1 MNXM738585@MNXD1 = 2 MNXM1363834@MNXD1
