base_id,name,bigg_id,kegg_id,formula,charge,confidence
m158,"Inositol 1,2,3,5,6-pentakisphosphate",mi12356p,,C6H9O21P5,,database
m159,5 Formyltetrahydrofolate,5fothf,C03204,C20H21N7O7,-2.0,database
m160,"5,10-Methenyltetrahydrofolate",methf,,C20H21N7O6,-1.0,database
m161,5 Methyltetrahydropteroyltri L glutamate C25H36N8O12,mhpglu,,C30H35N9O12,0.0,database
m162,L-Homocysteine,hcys__L,C00021,C4H9NO2S,0.0,database
m163,Tetrahydropteroyltri L glutamate C24H34N8O12,hpglu,,C24H34N8O12,0.0,database
m164,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,5mdru1p,C04582,C6H11O7PS,-2.0,database
m165,"1D-myo-Inositol 3,4,5,6-tetrakisphosphate",mi3456p,C20690,C6H8O18P4,-8.0,database
m166,D-Fructose 6-phosphate,f6p,C00085,C6H11O9P,-2.0,database
m167,"Beta-D-Fructose 1,6-bisphosphate",fdp_B,,C6H10O12P2,,database
m168,"6-phospho-D-glucono-1,5-lactone",6pgl,C01236,C6H9O9P,-2.0,database
m169,6-Phospho-D-gluconate,6pgc,C00345,C6H10O10P,-3.0,database
m170,"Inositol 1,2,3,5,6-pentakisphosphate",mi12356p,C11174,C6H9O21P5,,database
m171,Pimeloyl-CoA,pmcoa,C01063,C28H41N7O19P3S,-5.0,database
m172,8-Amino-7-oxononanoate,8aonn,C01092,C9H17NO3,0.0,database
m173,Acetaldehyde,acald,C00084,C2H4O,0.0,database
m174,Acetoin,R_actn,C00810,C4H8O2,0.0,database
m175,Phenylacetic acid,pac,C00707,C8H7O2,0.0,database
m176,Nicotinamide adenine dinucleotide phosphate - reduced,nadph,C00005,C21H26N7O17P3,0.0,database
m177,"(R)-2,3-Dihydroxy-3-methylbutanoate",23dhmb,C01801,C5H9O4,0.0,database
m178,Nicotinamide adenine dinucleotide phosphate,nadp,,C21H25N7O17P3,0.0,database
m179,Acyl carrier Protein,acp,,X,0.0,database
m180,Acetyl-ACP,acACP,C03939,C2H3OSR,0.0,database
m181,3-Oxooctadecanoyl-CoA,3ohodcoa,C16216,C39H64N7O18P3S,-4.0,database
m182,Coenzyme A,coa,C00010,C21H32N7O16P3S,0.0,database
m183,Acetyl-CoA,accoa,C00024,C23H34N7O17P3S,0.0,database
m184,Palmitoyl-CoA,palmcoa,C00154,C37H66N7O17P3S,-3.0,database
m185,3-Oxohexanoyl-CoA,3ohcoa,,C27H40N7O18P3S,-4.0,database
m186,3-oxo-tetracosanoyl-CoA,3ottccoa,C16529,C45H76N7O18P3S,-4.0,database
m187,3-oxopalmitoleoyl-CoA,CE0853,C05259,C37H58N7O18P3S,-4.0,database
m188,Myristoyl-CoA,myrstcoa,C02593,C35H62N7O17P3S,,database
m189,Acetoacetyl-CoA,aacoa,C00332,C25H36N7O18P3S,-4.0,database
m190,Acetoacetyl-CoA,aacoa,C00332,C25H36N7O18P3S,-4.0,database
m191,Lactoyl-CoA,laccoa,C01832,C24H36N7O18P3S,-4.0,database
m192,3-Oxodecanoyl-CoA,3odcoa,C05265,C31H48N7O18P3S,-4.0,database
m193,Octanoyl-CoA,octcoa,C01944,C29H50N7O17P3S,,database
m194,3-oxolaur-6-cis-enoyl-CoA,CE0693,C05263,C33H50N7O18P3S,-4.0,database
m195,Decanoyl-CoA,deccoa,C00154,C31H50N7O17P3S,,database
m196,Bicarbonate,hco3,C00288,HCO3,-1.0,database
m197,ADP C10H12N5O10P2,adp,C00005,C10H12N5O10P2,-3.0,database
m198,(R)-Methylmalonyl-CoA,mmcoa__R,C00083,C25H35N7O19P3S,0.0,database
m199,Bicarbonate,hco3,C00288,HCO3,-1.0,database
m200,(R)-Methylmalonyl-CoA,mmcoa__R,C00083,C25H35N7O19P3S,0.0,database
m201,Acetate,ac,C00033,C2H3O2,-1.0,database
m202,Acetate,ac,C00033,C2H3O2,-1.0,database
m203,Diphosphate,ppi,C00008,HO7P2,-3.0,database
m204,Diphosphate,ppi,C00008,HO7P2,-3.0,database
m205,Acetate,ac,C00033,C2H3O2,-1.0,database
m206,ATP C10H12N5O13P3,atp,C00002,C10H12N5O13P3,-4.0,database
m207,Coenzyme A,coa,C00010,C21H32N7O16P3S,0.0,database
m208,Acetyl-CoA,accoa,C00024,C23H34N7O17P3S,0.0,database
m209,AMP C10H12N5O7P,amp,C00020,C10H12N5O7P,-2.0,database
m210,Diphosphate,ppi,C00008,HO7P2,-3.0,database
m211,N-Acetyl-L-glutamate,acglu,C00624,C7H9NO5,-2.0,database
m212,N-Acetyl-L-glutamyl 5-phosphate,acg5p,C00350,C7H9NO8P,-3.0,database
m213,FMN C17H19N4O9P,fmn,C00061,C17H19N4O9P,-3.0,database
m214,H2O H2O,h2o,C00001,H2O,0.0,database
m215,Phosphate,pi,C00002,HO4P,0.0,database
m216,Reduced riboflavin,rbflvrd,C00061,C17H22N4O6,0.0,database
m217,2 Hydroxybutane 1 2 4 tricarboxylate C7H7O7,hcit,C01251,C7H7O7,0.0,database
m218,5-Amino-2-oxopentanoate,5a2opntn,C01250,C5H9NO3,0.0,database
m219,2-Oxoglutarate,akg,C00026,C5H4O5,0.0,database
m220,N2-Acetyl-L-ornithine,acorn,C00437,C7H14N2O3,0.0,database
m221,Oxypurinol,oxyp,C00007,C5H4N4O2,0.0,database
m222,Hydrogen peroxide,h2o2,C00027,H2O2,0.0,database
m223,Trans-Dec-2-enoyl-CoA,dc2coa,C05275,C31H48N7O17P3S,-4.0,database
m224,Trans-Dodec-2-enoyl-CoA,dd2coa,,C33H52N7O17P3S,-4.0,database
m225,Hexacosanoyl-CoA,hexcoa,C21932,C27H41N7O16P3S,,database
