class,mnxm,met_id,model_formula,metanetx_formula,metanetx_charge,H_diff,met_name
only_H,MNXM593,m54[C_cy],C6H12O4,C6H11O4,-1,1,(R)-pantoate_C6H12O4
only_H,MNXM258,m55[C_mi],C4H9O7P,C4H7O7P,-2,2,D-erythrose 4-phosphate_C4H9O7P
only_H,MNXM73,m56[C_mi],C3H5O6P,C3H2O6P,-3,3,phosphoenolpyruvate_C3H5O6P
only_H,MNXM1363767,m60[C_mi],C15H22N6O5S,C15H23N6O5S,1,-1,S-adenosyl-L-methionine_C15H22N6O5S
only_H,MNXM732866,m67[C_cy],C5H8O3,C5H7O3,-1,1,3-methyl-2-oxobutanoate_C5H8O3
only_H,MNXM1104266,m68[C_cy],C23H38N7O17P3S,C23H34N7O17P3S,-4,4,acetyl-CoA_C23H38N7O17P3S
only_H,MNXM46,m77[C_mi],C4H4O5,C4H2O5,-2,2,oxaloacetate_C4H4O5
only_H,MNXM404,m81[C_cy],C6H10O3,C6H9O3,-1,1,4-methyl-2-oxopentanoate_C6H10O3
only_H,MNXM243,m87[C_cy],C10H12N5O6P,C10H11N5O6P,-1,1,"3',5'-cyclic AMP_C10H12N5O6P"
only_H,MNXM432,m89[C_cy],C10H14N5O6P,C10H12N5O6P,-2,2,dAMP_C10H14N5O6P
only_H,MNXM9932,m90[C_cy],C10H11N4O7P,C10H10N4O7P,-1,1,"3',5'-cyclic IMP_C10H11N4O7P"
only_H,MNXM1101868,m91[C_cy],C10H13N4O8P,C10H11N4O8P,-2,2,IMP_C10H13N4O8P
only_H,MNXM731192,m92[C_cy],C10H12N5O7P,C10H11N5O7P,-1,1,"3',5'-cyclic GMP_C10H12N5O7P"
only_H,MNXM1101285,m93[C_cy],C10H14N5O8P,C10H12N5O8P,-2,2,GMP_C10H14N5O8P
only_H,MNXM3162,m94[C_cy],C9H12N3O7P,C9H11N3O7P,-1,1,"3',5'-cyclic CMP_C9H12N3O7P"
only_H,MNXM1103302,m95[C_cy],C9H14N3O8P,C9H12N3O8P,-2,2,CMP_C9H14N3O8P
only_H,MNXM145,m96[C_cy],C5H11O8P,C5H9O8P,-2,2,D-ribulose 5-phosphate_C5H11O8P
only_H,MNXM736874,m98[C_cy],C7H10O6,C7H9O6,-1,1,3-dehydroquinate_C7H10O6
only_H,MNXM611,m99[C_cy],C7H8O5,C7H7O5,-1,1,3-dehydroshikimate_C7H8O5
only_H,MNXM733692,m105[C_er],C18H39NO2,C18H40NO2,1,-1,sphinganine_C18H39NO2
only_H,MNXM1108156,m113[C_cy],C7H7NO3,C7H6NO3,-1,1,3-hydroxyanthranilate_C7H7NO3
only_H,MNXM1103776,m117[C_pe],C35H60N7O18P3S,C35H56N7O18P3S,-4,4,3-oxotetradecanoyl-CoA_C35H60N7O18P3S
only_H,MNXM741109,m121[C_cy],C7H12O5,C7H10O5,-2,2,"(2R,3S)-3-isopropylmalate_C7H12O5"
only_H,MNXM90098,m124[C_mi],C20H23N7O6,C20H21N7O6,-2,2,"5,10-methylenetetrahydrofolate_C20H23N7O6"
only_H,MNXM337,m129[C_cy],C10H10O6,C10H8O6,-2,2,chorismate_C10H10O6
only_H,MNXM1458,m131[C_cy],C10H11NO5,C10H10NO5,-1,1,4-amino-4-deoxychorismate_C10H11NO5
only_H,MNXM421,m132[C_cy],C7H7NO2,C7H6NO2,-1,1,4-aminobenzoate_C7H7NO2
only_H,MNXM164,m138[C_mi],C7H6O3,C7H5O3,-1,1,4-hydroxybenzoate_C7H6O3
only_H,MNXM1104823,m149[C_cy],C9H13N2O9P,C9H11N2O9P,-2,2,UMP_C9H13N2O9P
only_H,MNXM1104774,m156[C_mi],C25H40N7O19P3S,C25H35N7O19P3S,-5,5,succinyl-CoA_C25H40N7O19P3S
only_H,MNXM734080,m169[C_cy],C6H13O10P,C6H10O10P,-3,3,6-phospho-D-gluconate_C6H13O10P
only_H,MNXM38670,m170[C_cy],C6H19O27P7,C6H6O27P7,-13,13,6-diphospho-1D-myo-inositol pentakisphosphate_C6H19O27P7
only_H,MNXM1104572,m181[C_pe],C39H68N7O18P3S,C39H64N7O18P3S,-4,4,3-oxooctadecanoyl-CoA_C39H68N7O18P3S
only_H,MNXM1106079,m185[C_pe],C47H84N7O18P3S,C47H80N7O18P3S,-4,4,3-oxohexacosanoyl-CoA_C47H84N7O18P3S
